metric,value
MMD2,0.01884627342224121
mean_MSE,0.05554777383804321
cov_MSE,0.1355661153793335
skew_MSE,0.013779294677078724
kurt_MSE,0.06280137598514557
gen_time_sec_mean_for_10k,0.01654024124145508
gen_time_sec_std_for_10k,0.0005557461574013718
